Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Philedonides lunana voucher MM04056 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Philedonides lunana,732,732,99%,0.0,98.32,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872301.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GNGZJNE013"",""HM872301.1"")"
"Philedonides lunana voucher MM21213 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Philedonides lunana,728,728,100%,0.0,98.09,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782617.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GNGZJNE013"",""KT782617.1"")"
"Philedonides lunana voucher MM18263 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Philedonides lunana,706,706,100%,0.0,97.13,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854254.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GNGZJNE013"",""JF854254.1"")"
"Philedonides lunana voucher MM05393 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Philedonides lunana,693,693,99%,0.0,96.64,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM872801.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GNGZJNE013"",""HM872801.1"")"
"Philedonides lunana voucher MM21212 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Philedonides lunana,660,660,99%,0.0,95.20,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT782426.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GNGZJNE013"",""KT782426.1"")"
"Philedonides lunana voucher MM18264 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Philedonides lunana,654,654,99%,0.0,94.96,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JF854255.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GNGZJNE013"",""JF854255.1"")"
"Philedonides lunana voucher MM08757 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Philedonides lunana,654,654,99%,0.0,94.96,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM874066.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GNGZJNE013"",""HM874066.1"")"
"Capua leucospila voucher 11ANIC-09567 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Capua leucospila,612,612,99%,2e-170,93.05,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF399841.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GNGZJNE013"",""KF399841.1"")"
"Capua adynata voucher 11ANIC-09588 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Capua adynata,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF406230.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GNGZJNE013"",""KF406230.1"")"
"Capua scaphosema voucher 11ANIC-09600 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Capua scaphosema,599,599,99%,2e-166,92.57,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF405267.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GNGZJNE013"",""KF405267.1"")"
