Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Cydia duplicana voucher MM23388 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cydia duplicana,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ610547.1?report=genbank&log$=nucltop&blast_rank=1&RID=8GJEE4XV016"",""MZ610547.1"")"
"Cydia duplicana voucher MM03040 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cydia duplicana,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM871793.1?report=genbank&log$=nucltop&blast_rank=2&RID=8GJEE4XV016"",""HM871793.1"")"
"Cydia duplicana voucher MM12137 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cydia duplicana,628,628,100%,2e-175,93.78,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM875199.1?report=genbank&log$=nucltop&blast_rank=3&RID=8GJEE4XV016"",""HM875199.1"")"
"Cydia interscindana voucher Velence cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial",Cydia interscindana,617,617,100%,4e-172,93.30,648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW591863.1?report=genbank&log$=nucltop&blast_rank=4&RID=8GJEE4XV016"",""MW591863.1"")"
"Lepidoptera sp. BOLD:AAF7700 voucher TLMF Lep 04252 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cydia duplicana,617,617,100%,4e-172,93.30,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN275053.1?report=genbank&log$=nucltop&blast_rank=5&RID=8GJEE4XV016"",""JN275053.1"")"
"Chamaesphecia mysiniformis bio-material DNATAX:02626 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",Chamaesphecia mysiniformis,606,606,100%,1e-168,92.82,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU731641.1?report=genbank&log$=nucltop&blast_rank=6&RID=8GJEE4XV016"",""GU731641.1"")"
"Cydia lacustrina voucher USNMENT.01480315 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cydia lacustrina,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ706491.1?report=genbank&log$=nucltop&blast_rank=7&RID=8GJEE4XV016"",""OQ706491.1"")"
"Cydia lacustrina voucher BIOUG<CAN>:MDOK-1151 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cydia lacustrina,595,595,100%,2e-165,92.34,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU800597.1?report=genbank&log$=nucltop&blast_rank=8&RID=8GJEE4XV016"",""GU800597.1"")"
"Cydia populana voucher 05-ONMIS-0038 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cydia populana,593,593,99%,7e-165,92.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT139346.1?report=genbank&log$=nucltop&blast_rank=9&RID=8GJEE4XV016"",""KT139346.1"")"
"Cydia populana voucher 10BBCLP-2013 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cydia populana,593,593,99%,7e-165,92.33,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM542000.1?report=genbank&log$=nucltop&blast_rank=10&RID=8GJEE4XV016"",""KM542000.1"")"
"Cydia bracteatana voucher USNMENT.01480310 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cydia bracteatana,590,590,100%,1e-163,92.11,603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ706413.1?report=genbank&log$=nucltop&blast_rank=11&RID=8GJEE4XV016"",""OQ706413.1"")"
"Cydia populana voucher 08BBLEP-03261 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cydia populana,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM546204.1?report=genbank&log$=nucltop&blast_rank=12&RID=8GJEE4XV016"",""KM546204.1"")"
"Cydia sp. JWB1 voucher BIOUG<CAN>:09BBLEP-00327 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",Cydia sp. JWB1,590,590,100%,1e-163,92.11,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU691846.1?report=genbank&log$=nucltop&blast_rank=13&RID=8GJEE4XV016"",""GU691846.1"")"
